degree,coef0,gamma,cost,nu,dev
3,5,0.4,0.5,0.1,0.399224338831684
3,2.5,0.15,64,0.1,0.435721609611083
4,5,0.2,0.25,0.2,0.520304005112705
4,5,0.2,8,0.1,0.32384640256994
5,5,0.15,16,0.1,0.0781571408220343
1,-5,0.2,16,0.1,0.294577760894171
2,-5,0.2,16,0.1,-7.84032338240068
3,-5,0.2,16,0.1,-8.53330513608509
4,-5,0.2,16,0.1,-9.89018140562931
5,-5,0.2,16,0.1,-12.0497884167335
1,-2.5,0.2,16,0.1,0.294668063837949
2,-2.5,0.2,16,0.1,-7.34682403330007
3,-2.5,0.2,16,0.1,-7.96517424337498
4,-2.5,0.2,16,0.1,-8.41038073379517
5,-2.5,0.2,16,0.1,-10.5851182806235
1,0,0.2,16,0.1,0.293953616157354
2,0,0.2,16,0.1,0.374060064667807
3,0,0.2,16,0.1,0.429352675088429
4,0,0.2,16,0.1,0.412944824715403
5,0,0.2,16,0.1,0.328099024334587
1,2.5,0.2,16,0.1,0.294670357931764
2,2.5,0.2,16,0.1,0.394325173961115
3,2.5,0.2,16,0.1,0.430850216090046
4,5,0.4,0.5,0.1,0.4081914173156
5,5,0.1,128,0.1,-0.129047184984053
1,-5,0.15,128,0.1,0.294218779021932
2,-5,0.15,128,0.1,-8.91891141373166
3,-5,0.15,128,0.1,-8.31778992440445
4,-5,0.15,128,0.1,-11.0198865912873
5,-5,0.15,128,0.1,-13.2229302530692
1,-2.5,0.15,128,0.1,0.294688955929661
2,-2.5,0.15,128,0.1,-8.42255484170815
3,-2.5,0.15,128,0.1,-9.1455059457975
4,-2.5,0.15,128,0.1,-9.51901646622691
5,-2.5,0.15,128,0.1,-9.09448639203802
1,0,0.15,128,0.1,0.294512673316351
5,2.5,0.3,2,0.1,0.177993399213871
1,5,0.3,2,0.1,0.288518233149646
2,0,0.15,128,0.1,0.377661036479236
2,5,0.3,2,0.1,0.395987639985691
4,5,0.15,32,0.1,0.31565717135324
5,2.5,0.25,4,0.1,0.210403813250231
1,5,0.25,4,0.1,0.294133675449819
2,5,0.25,4,0.1,0.393541353105867
3,0,0.15,128,0.1,0.388636124114965
3,5,0.3,2,0.1,0.425614612336304
4,2.5,0.15,64,0.1,0.263420430290619
5,5,0.2,0.25,0.2,0.437534954019463
1,-5,0.25,0.25,0.2,0.388954584715866
2,-5,0.25,0.25,0.2,-4.67575754506406
3,-5,0.25,0.25,0.2,-5.63361171675014
4,-5,0.25,0.25,0.2,-7.9107482267104
4,0,0.15,128,0.1,0.386788683897628
5,-5,0.25,0.25,0.2,-5.87058187805134
1,-2.5,0.25,0.25,0.2,0.389210876681943
2,-2.5,0.25,0.25,0.2,-5.42610398271889
3,-2.5,0.25,0.25,0.2,-4.55057428342071
4,-2.5,0.25,0.25,0.2,-6.71468248584896
5,-2.5,0.25,0.25,0.2,-6.00279386248949
1,0,0.25,0.25,0.2,0.38886358873154
2,0,0.25,0.25,0.2,0.4598948694906
3,0,0.25,0.25,0.2,0.440333273522571
4,0,0.25,0.25,0.2,0.413629441305113
5,0,0.25,0.25,0.2,0.394342718828318
1,2.5,0.25,0.25,0.2,0.389123508066146
2,2.5,0.25,0.25,0.2,0.485479658963517
3,2.5,0.25,0.25,0.2,0.528312098549034
3,5,0.25,4,0.1,0.428136845090464
4,2.5,0.25,0.25,0.2,0.520026718967079
4,2.5,0.2,16,0.1,0.379784943857771
5,2.5,0.35,1,0.1,0.251662190499667
1,5,0.35,1,0.1,0.286756427053836
2,5,0.35,1,0.1,0.398572931513174
5,0,0.15,128,0.1,0.29607128231854
1,2.5,0.15,128,0.1,0.294773503392814
3,5,0.35,1,0.1,0.416041096138582
2,2.5,0.15,128,0.1,0.39098911162884
5,2.5,0.25,0.25,0.2,0.463791071445089
1,5,0.25,0.25,0.2,0.388855647119642
2,5,0.25,0.25,0.2,0.483495903174323
3,5,0.25,0.25,0.2,0.534280481435253
4,5,0.3,2,0.1,0.366136544761723
5,5,0.2,8,0.1,0.0811418447046247
1,-5,0.25,8,0.1,0.29457449306033
2,-5,0.25,8,0.1,-7.54480030449024
3,-5,0.25,8,0.1,-8.31982958953053
4,-5,0.25,8,0.1,-9.51722217358833
5,-5,0.25,8,0.1,-11.7305829078177
1,-2.5,0.25,8,0.1,0.294494571372274
2,-2.5,0.25,8,0.1,-7.02768013761624
3,-2.5,0.25,8,0.1,-7.72523237233953
4,-2.5,0.25,8,0.1,-8.00781815254594
5,-2.5,0.25,8,0.1,-10.3040932008521
1,0,0.25,8,0.1,0.29442728772354
2,0,0.25,8,0.1,0.374931598195838
3,0,0.25,8,0.1,0.429953207000273
4,5,0.25,0.25,0.2,0.519082508702251
4,0,0.25,8,0.1,0.415893762785204
3,2.5,0.15,128,0.1,0.395317886485152
4,5,0.25,4,0.1,0.37144360844632
5,0,0.25,8,0.1,0.312563148430107
1,2.5,0.25,8,0.1,0.294431613462814
2,2.5,0.25,8,0.1,0.392696464700126
4,5,0.35,1,0.1,0.394512548274277
5,5,0.4,0.5,0.1,0.125256058559022
1,-5,0.05,0.5,0.2,0.362597192226877
2,-5,0.05,0.5,0.2,-5.35179507715563
3,-5,0.05,0.5,0.2,-3.81810087302685
4,-5,0.05,0.5,0.2,-7.49986430590388
5,-5,0.05,0.5,0.2,-7.03896292487894
1,-2.5,0.05,0.5,0.2,0.362629182503098
2,-2.5,0.05,0.5,0.2,-3.91068885815999
3,-2.5,0.05,0.5,0.2,-3.58480778227679
4,-2.5,0.05,0.5,0.2,-6.34632129133685
5,-2.5,0.05,0.5,0.2,-5.51024637997415
1,0,0.05,0.5,0.2,0.362653984290773
2,0,0.05,0.5,0.2,0.123230952690513
3,0,0.05,0.5,0.2,0.0247909772850639
4,0,0.05,0.5,0.2,-0.0263402244726139
5,0,0.05,0.5,0.2,-0.0421399031827683
1,2.5,0.05,0.5,0.2,0.362629164774998
2,2.5,0.05,0.5,0.2,0.416015390746322
3,2.5,0.05,0.5,0.2,0.460308095139473
4,2.5,0.05,0.5,0.2,0.516954181221333
5,2.5,0.05,0.5,0.2,0.532417789505828
1,5,0.05,0.5,0.2,0.362597193231457
2,5,0.05,0.5,0.2,0.410384984821248
3,5,0.05,0.5,0.2,0.492397629025366
4,5,0.05,0.5,0.2,0.521127494686746
3,2.5,0.25,8,0.1,0.427326681924118
5,5,0.05,0.5,0.2,0.533532359900257
1,-5,0.1,0.5,0.2,0.388485507155441
2,-5,0.1,0.5,0.2,-4.57592856542104
3,-5,0.1,0.5,0.2,-4.82877851368174
4,-5,0.1,0.5,0.2,-7.87256594948662
5,-5,0.1,0.5,0.2,-8.0534646878063
1,-2.5,0.1,0.5,0.2,0.388404600403303
2,-2.5,0.1,0.5,0.2,-4.23735750560037
3,-2.5,0.1,0.5,0.2,-4.02072885704507
4,-2.5,0.1,0.5,0.2,-6.6781030966761
5,-2.5,0.1,0.5,0.2,-4.91274349104421
1,0,0.1,0.5,0.2,0.388522741276548
2,0,0.1,0.5,0.2,0.344240380177802
3,0,0.1,0.5,0.2,0.200927839648605
4,0,0.1,0.5,0.2,0.101188565316423
5,0,0.1,0.5,0.2,0.0416884224591979
1,2.5,0.1,0.5,0.2,0.388411645941606
2,2.5,0.1,0.5,0.2,0.437547533808741
3,2.5,0.1,0.5,0.2,0.511847408462271
4,2.5,0.1,0.5,0.2,0.532573893942672
5,2.5,0.1,0.5,0.2,0.518980839216783
1,5,0.1,0.5,0.2,0.388447841098797
2,5,0.1,0.5,0.2,0.436801245583519
3,5,0.1,0.5,0.2,0.508590706107652
4,5,0.1,0.5,0.2,0.535820713259517
5,5,0.15,32,0.1,-0.0501625909898444
1,-5,0.2,32,0.1,0.294055133271332
2,-5,0.2,32,0.1,-8.24461239877046
3,-5,0.2,32,0.1,-9.08279971644861
4,-5,0.2,32,0.1,-10.2816881562841
5,-5,0.2,32,0.1,-12.5992772493665
1,-2.5,0.2,32,0.1,0.294472170966052
2,-2.5,0.2,32,0.1,-7.7435583640534
3,-2.5,0.2,32,0.1,-8.51233219109637
4,-2.5,0.2,32,0.1,-8.77922704601367
5,-2.5,0.2,32,0.1,-11.1464286974246
1,0,0.2,32,0.1,0.294316094514786
2,0,0.2,32,0.1,0.377546828222432
3,0,0.2,32,0.1,0.402084394907144
5,2.5,0.15,64,0.1,0.0330004581371126
1,5,0.15,64,0.1,0.294496029620506
4,0,0.2,32,0.1,0.401350223937577
5,2.5,0.2,16,0.1,0.125256058559022
1,5,0.2,16,0.1,0.293997576044486
2,5,0.15,64,0.1,0.392405641229449
4,2.5,0.25,8,0.1,0.387709388011594
2,5,0.2,16,0.1,0.394672895163703
5,0,0.2,32,0.1,0.292507661872696
1,2.5,0.2,32,0.1,0.293988317844104
2,2.5,0.2,32,0.1,0.393600153270682
4,2.5,0.15,128,0.1,0.200602927849305
5,5,0.25,0.25,0.2,0.395870249611065
1,-5,0.3,0.25,0.2,0.390544146166591
2,-5,0.3,0.25,0.2,-4.74952268782949
3,-5,0.3,0.25,0.2,-5.90659230205543
4,-5,0.3,0.25,0.2,-7.98949180659708
5,-5,0.3,0.25,0.2,-9.15913240395578
1,-2.5,0.3,0.25,0.2,0.390497097882578
2,-2.5,0.3,0.25,0.2,-5.5124360716915
3,-2.5,0.3,0.25,0.2,-4.7226394635518
4,-2.5,0.3,0.25,0.2,-6.78530397280197
5,-2.5,0.3,0.25,0.2,-5.28807849160155
1,0,0.3,0.25,0.2,0.390531220072184
5,5,0.1,0.5,0.2,0.500612657926645
2,0,0.3,0.25,0.2,0.468372772054206
1,-5,0.15,0.5,0.2,0.390491479333283
2,-5,0.15,0.5,0.2,-5.95081913151212
3,0,0.3,0.25,0.2,0.479125037344122
3,-5,0.15,0.5,0.2,-5.40667638935122
3,5,0.2,16,0.1,0.442266612096371
4,-5,0.15,0.5,0.2,-8.0682989126726
5,-5,0.15,0.5,0.2,-8.65025249825195
4,0,0.3,0.25,0.2,0.442375125821607
1,-2.5,0.15,0.5,0.2,0.390544146166595
2,-2.5,0.15,0.5,0.2,-5.56100226345061
3,-2.5,0.15,0.5,0.2,-4.25968977553147
4,-2.5,0.15,0.5,0.2,-6.86451653737713
5,-2.5,0.15,0.5,0.2,-7.10864138491288
1,0,0.15,0.5,0.2,0.390531220072185
2,0,0.15,0.5,0.2,0.439597006503545
5,0,0.3,0.25,0.2,0.42369137231076
3,0,0.15,0.5,0.2,0.37300023786051
1,2.5,0.3,0.25,0.2,0.390438280938666
4,0,0.15,0.5,0.2,0.331009766036955
2,2.5,0.3,0.25,0.2,0.494580686364638
5,0,0.15,0.5,0.2,0.251248029685551
1,2.5,0.15,0.5,0.2,0.390574139978091
2,2.5,0.15,0.5,0.2,0.469499662064564
3,2.5,0.3,0.25,0.2,0.540790406705926
3,2.5,0.15,0.5,0.2,0.516581067423173
5,5,0.3,2,0.1,0.0330004581042911
1,-5,0.35,2,0.1,0.292528952738825
4,2.5,0.15,0.5,0.2,0.527413324956826
2,-5,0.35,2,0.1,-6.90115894121535
3,-5,0.35,2,0.1,-7.64406713700215
4,-5,0.35,2,0.1,-8.75771978968792
5,-5,0.35,2,0.1,-11.4188498186585
1,-2.5,0.35,2,0.1,0.292426476580951
2,-2.5,0.35,2,0.1,-6.34659487918075
3,-2.5,0.35,2,0.1,-4.78167707685409
4,-2.5,0.35,2,0.1,-7.33935980643844
5,-2.5,0.35,2,0.1,-6.92223647290031
1,0,0.35,2,0.1,0.2925497030163
2,0,0.35,2,0.1,0.379113033741006
3,0,0.35,2,0.1,0.434037334021504
4,2.5,0.3,0.25,0.2,0.514947460883273
3,5,0.15,64,0.1,0.409150450967602
4,0,0.35,2,0.1,0.414342920446151
3,2.5,0.2,32,0.1,0.429189118007373
5,2.5,0.15,0.5,0.2,0.48681173399397
1,5,0.15,0.5,0.2,0.390475654109764
2,5,0.15,0.5,0.2,0.467047174317721
3,5,0.15,0.5,0.2,0.522220313703714
5,5,0.35,1,0.1,0.108171360002973
1,-5,0.4,1,0.1,0.289051953489768
2,-5,0.4,1,0.1,-6.5534695424478
3,-5,0.4,1,0.1,-7.41804826156436
4,-5,0.4,1,0.1,-8.41038073379517
5,-5,0.4,1,0.1,-11.1464286974246
1,-2.5,0.4,1,0.1,0.289133425853609
2,-2.5,0.4,1,0.1,-5.04145780892813
3,-2.5,0.4,1,0.1,-5.27694470286839
4,-2.5,0.4,1,0.1,-6.98447543273883
5,0,0.35,2,0.1,0.290676562275553
5,-2.5,0.4,1,0.1,-6.67207221501931
1,2.5,0.35,2,0.1,0.292443746441654
1,0,0.4,1,0.1,0.288503584421093
2,0,0.4,1,0.1,0.38016120247991
2,2.5,0.35,2,0.1,0.394808940486572
4,5,0.15,0.5,0.2,0.52247179570919
3,0,0.4,1,0.1,0.429109399514184
4,0,0.4,1,0.1,0.412944824715403
5,5,0.25,4,0.1,0.0162281704586026
3,2.5,0.35,2,0.1,0.421265930953668
1,-5,0.3,4,0.1,0.294207130238084
2,-5,0.3,4,0.1,-7.22530988182051
3,-5,0.3,4,0.1,-8.0490929670318
4,-5,0.3,4,0.1,-9.14262024641195
5,-5,0.3,4,0.1,-9.09448639203802
1,-2.5,0.3,4,0.1,0.294356891291963
2,-2.5,0.3,4,0.1,-6.67841521876517
3,-2.5,0.3,4,0.1,-6.22509079516857
4,-2.5,0.3,4,0.1,-7.6787162890275
5,-2.5,0.3,4,0.1,-5.46293496935164
1,0,0.3,4,0.1,0.294173845684395
2,0,0.3,4,0.1,0.380435758485013
3,0,0.3,4,0.1,0.431786097590635
4,0,0.3,4,0.1,0.415545329612137
5,0,0.4,1,0.1,0.292507661872696
1,2.5,0.4,1,0.1,0.28823363473352
2,2.5,0.4,1,0.1,0.398897793374791
3,2.5,0.4,1,0.1,0.422255305464837
5,0,0.3,4,0.1,0.296071282318532
1,2.5,0.3,4,0.1,0.294465826343183
2,2.5,0.3,4,0.1,0.391705477758717
5,2.5,0.3,0.25,0.2,0.431694946319506
1,5,0.3,0.25,0.2,0.390574139978091
3,2.5,0.3,4,0.1,0.427671940683877
2,5,0.3,0.25,0.2,0.495794167712802
3,5,0.3,0.25,0.2,0.540152616498307
4,2.5,0.35,2,0.1,0.395206715358652
4,2.5,0.2,32,0.1,0.278537017760858
5,2.5,0.25,8,0.1,0.115846753423042
1,5,0.25,8,0.1,0.294438587764395
2,5,0.25,8,0.1,0.393435771437277
4,5,0.2,16,0.1,0.306907071352062
4,2.5,0.4,1,0.1,0.402981349028017
4,5,0.3,0.25,0.2,0.49541964527297
5,5,0.15,0.5,0.2,0.452196745378836
1,-5,0.2,0.5,0.2,0.390098366124355
2,-5,0.2,0.5,0.2,-6.09979980327891
3,-5,0.2,0.5,0.2,-5.81549382929935
4,-5,0.2,0.5,0.2,-8.1950220440732
5,-5,0.2,0.5,0.2,-5.93996129595592
1,-2.5,0.2,0.5,0.2,0.390035865603236
2,-2.5,0.2,0.5,0.2,-4.55470171506278
3,-2.5,0.2,0.5,0.2,-5.2835942038516
4,-2.5,0.2,0.5,0.2,-6.98145175146011
5,-2.5,0.2,0.5,0.2,-6.15723023111831
1,0,0.2,0.5,0.2,0.390014611188439
2,0,0.2,0.5,0.2,0.465888287259473
3,0,0.2,0.5,0.2,0.442635988069145
4,0,0.2,0.5,0.2,0.401955001376591
5,0,0.2,0.5,0.2,0.376381504228878
1,2.5,0.2,0.5,0.2,0.389944293611724
2,2.5,0.2,0.5,0.2,0.493634494860021
3,2.5,0.2,0.5,0.2,0.530185861518617
4,2.5,0.2,0.5,0.2,0.521466232209552
3,5,0.25,8,0.1,0.436534863508764
4,2.5,0.3,4,0.1,0.392671645769855
5,2.5,0.15,128,0.1,-0.023711907152741
1,5,0.15,128,0.1,0.294435331273098
4,5,0.15,64,0.1,0.150802054102429
2,5,0.15,128,0.1,0.388098057538514
5,2.5,0.2,0.5,0.2,0.466747236344791
1,5,0.2,0.5,0.2,0.389816215810121
2,5,0.2,0.5,0.2,0.495594221856022
3,5,0.2,0.5,0.2,0.534412430400332
4,5,0.2,0.5,0.2,0.51906615684604
4,5,0.25,8,0.1,0.270397519141029
5,2.5,0.35,2,0.1,0.0784629533501302
1,5,0.35,2,0.1,0.292552658961298
2,5,0.35,2,0.1,0.393886132611039
3,5,0.15,128,0.1,0.345154022680096
5,2.5,0.4,1,0.1,0.144867173801995
3,5,0.35,2,0.1,0.426628036257348
1,5,0.4,1,0.1,0.288926366640749
2,5,0.4,1,0.1,0.395932874742717
3,5,0.4,1,0.1,0.427870633400423
5,2.5,0.2,32,0.1,0.00375552277258329
1,5,0.2,32,0.1,0.294364563099148
2,5,0.2,32,0.1,0.393138451958304
5,5,0.2,16,0.1,-0.110013659818931
1,-5,0.25,16,0.1,0.294399364095855
2,-5,0.25,16,0.1,-7.94765403754361
3,-5,0.25,16,0.1,-8.86902802811392
4,-5,0.25,16,0.1,-9.90183292367193
5,-5,0.25,16,0.1,-12.2721886798164
1,-2.5,0.25,16,0.1,0.294400564304593
2,-2.5,0.25,16,0.1,-7.41965874309735
3,-2.5,0.25,16,0.1,-8.26915993647451
4,-2.5,0.25,16,0.1,-8.36316630918108
5,-2.5,0.25,16,0.1,-10.857198252295
1,0,0.25,16,0.1,0.294468110121497
2,0,0.25,16,0.1,0.376839666481192
3,0,0.25,16,0.1,0.404388271657047
5,5,0.3,0.25,0.2,0.354346133094409
1,-5,0.35,0.25,0.2,0.390629301151492
2,-5,0.35,0.25,0.2,-6.01311898922159
3,-5,0.35,0.25,0.2,-5.26716789704721
4,-5,0.35,0.25,0.2,-6.77072789384775
5,-5,0.35,0.25,0.2,-9.42829729771347
1,-2.5,0.35,0.25,0.2,0.390640005727198
2,-2.5,0.35,0.25,0.2,-5.5862028618161
3,-2.5,0.35,0.25,0.2,-5.56473714797218
4,-2.5,0.35,0.25,0.2,-6.82885136409806
5,-2.5,0.35,0.25,0.2,-8.0451163997527
1,0,0.35,0.25,0.2,0.390616378001526
2,0,0.35,0.25,0.2,0.484164741499241
3,0,0.35,0.25,0.2,0.504876541390249
4,0,0.35,0.25,0.2,0.472595219603722
4,0,0.25,16,0.1,0.390617050870381
5,0,0.35,0.25,0.2,0.434669207971126
1,2.5,0.35,0.25,0.2,0.390722228940011
2,2.5,0.35,0.25,0.2,0.508264635006775
3,2.5,0.35,0.25,0.2,0.546004861840181
5,2.5,0.3,4,0.1,0.096227546999633
1,5,0.3,4,0.1,0.29427142174242
2,5,0.3,4,0.1,0.391034426901736
4,2.5,0.35,0.25,0.2,0.497667806003934
3,5,0.2,32,0.1,0.413432481879158
5,5,0.15,64,0.1,-0.155585903970265
1,-5,0.2,64,0.1,0.294671124880365
2,-5,0.2,64,0.1,-8.64901907715161
3,-5,0.2,64,0.1,-9.63229133826158
4,-5,0.2,64,0.1,-10.6731948040843
5,-5,0.2,64,0.1,-13.1266514729908
1,-2.5,0.2,64,0.1,0.294644126383491
2,-2.5,0.2,64,0.1,-8.14030645225034
3,-2.5,0.2,64,0.1,-9.05950597080403
4,-2.5,0.2,64,0.1,-9.14807212008767
5,-2.5,0.2,64,0.1,-11.7077402336717
1,0,0.2,64,0.1,0.294022428228304
4,5,0.35,2,0.1,0.335529841722157
3,5,0.3,4,0.1,0.431299842461029
2,0,0.2,64,0.1,0.378527324247206
5,5,0.2,0.5,0.2,0.410058345546598
4,5,0.4,1,0.1,0.379784943857771
1,-5,0.25,0.5,0.2,0.39121543578305
2,-5,0.25,0.5,0.2,-5.00699491679816
3,-5,0.25,0.5,0.2,-6.14088193808203
4,-5,0.25,0.5,0.2,-8.28774222969267
5,-5,0.25,0.5,0.2,-6.07586650903073
1,-2.5,0.25,0.5,0.2,0.391171484157452
2,-2.5,0.25,0.5,0.2,-5.80361950315297
3,-2.5,0.25,0.5,0.2,-5.59794105376065
4,-2.5,0.25,0.5,0.2,-7.0838091237128
5,-2.5,0.25,0.5,0.2,-6.38899803713308
1,0,0.25,0.5,0.2,0.391186911024006
2,0,0.25,0.5,0.2,0.485054272257378
3,0,0.25,0.5,0.2,0.487747307469009
4,0,0.25,0.5,0.2,0.441865118748108
5,0,0.25,0.5,0.2,0.420472374371167
1,2.5,0.25,0.5,0.2,0.391183770519783
2,2.5,0.25,0.5,0.2,0.509804445333927
5,0,0.25,16,0.1,0.25723195316769
1,2.5,0.25,16,0.1,0.294626506872276
3,2.5,0.25,0.5,0.2,0.542570983708896
2,2.5,0.25,16,0.1,0.395066303194478
3,0,0.2,64,0.1,0.387435395097994
4,2.5,0.25,0.5,0.2,0.510099872680283
4,0,0.2,64,0.1,0.348774459099739
3,2.5,0.25,16,0.1,0.42773483014772
4,5,0.15,128,0.1,0.110568157611666
5,5,0.25,8,0.1,0.0257333723195333
1,-5,0.3,8,0.1,0.294223699542164
2,-5,0.3,8,0.1,-7.62440647440226
3,-5,0.3,8,0.1,-8.55400481018133
4,-5,0.3,8,0.1,-9.51901646622691
5,-5,0.3,8,0.1,-9.49026293709328
1,-2.5,0.3,8,0.1,0.294510907905656
2,-2.5,0.3,8,0.1,-7.06381751348235
3,-2.5,0.3,8,0.1,-5.2377245375835
4,-2.5,0.3,8,0.1,-8.02618568865057
5,-2.5,0.3,8,0.1,-5.61796306774272
1,0,0.3,8,0.1,0.294677164764309
2,0,0.3,8,0.1,0.373677234027452
3,0,0.3,8,0.1,0.411798410370624
5,0,0.2,64,0.1,0.245577604600642
1,2.5,0.2,64,0.1,0.294667806204597
4,5,0.3,4,0.1,0.263420430287256
4,0,0.3,8,0.1,0.386788683897539
2,2.5,0.2,64,0.1,0.392688861944959
5,2.5,0.25,0.5,0.2,0.432688491142099
1,5,0.25,0.5,0.2,0.391125677218033
2,5,0.25,0.5,0.2,0.509255835376802
3,5,0.25,0.5,0.2,0.541535400087216
4,2.5,0.25,16,0.1,0.267166551766121
4,5,0.2,32,0.1,0.260606271548798
5,2.5,0.35,0.25,0.2,0.384610563609206
1,5,0.35,0.25,0.2,0.390599290334617
2,5,0.35,0.25,0.2,0.508596042038314
3,5,0.35,0.25,0.2,0.544963021191111
3,2.5,0.2,64,0.1,0.402493920586731
5,0,0.3,8,0.1,0.247372676990795
1,2.5,0.3,8,0.1,0.294596462992026
2,2.5,0.3,8,0.1,0.396149430813124
4,5,0.25,0.5,0.2,0.489968704057781
5,5,0.35,2,0.1,-0.0544167855045203
1,-5,0.4,2,0.1,0.293703430986796
2,-5,0.4,2,0.1,-6.95011774289005
3,-5,0.4,2,0.1,-7.96517424337498
4,-5,0.4,2,0.1,-8.77922704601367
5,-5,0.4,2,0.1,-11.7077402336717
1,-2.5,0.4,2,0.1,0.294066548008862
2,-2.5,0.4,2,0.1,-6.38282083554754
3,-2.5,0.4,2,0.1,-5.5620784036925
4,-2.5,0.4,2,0.1,-7.30925859734733
5,-2.5,0.4,2,0.1,-6.97457577041595
1,0,0.4,2,0.1,0.294143706187254
2,0,0.4,2,0.1,0.381379757105556
3,0,0.4,2,0.1,0.429352675088429
3,2.5,0.3,8,0.1,0.428832378369626
5,5,0.4,1,0.1,0.00375552277258329
1,-5,0.05,1,0.2,0.38845931385715
2,-5,0.05,1,0.2,-5.73878909501132
3,-5,0.05,1,0.2,-4.3278112358836
4,-5,0.05,1,0.2,-7.8834404494505
5,-5,0.05,1,0.2,-7.54416971921809
1,-2.5,0.05,1,0.2,0.388485507155441
2,-2.5,0.05,1,0.2,-4.24349018683318
3,-2.5,0.05,1,0.2,-3.81439903335828
4,-2.5,0.05,1,0.2,-6.72957712204571
5,-2.5,0.05,1,0.2,-6.0194772610321
1,0,0.05,1,0.2,0.388522741276548
2,0,0.05,1,0.2,0.217834278177375
3,0,0.05,1,0.2,0.0611524387898889
4,0,0.05,1,0.2,-0.0117796103929533
5,0,0.05,1,0.2,-0.0355245719555362
1,2.5,0.05,1,0.2,0.388447841098797
2,2.5,0.05,1,0.2,0.419479994385778
3,2.5,0.05,1,0.2,0.493065484675079
4,2.5,0.05,1,0.2,0.514869320284514
4,0,0.4,2,0.1,0.401350223937577
5,2.5,0.05,1,0.2,0.534038222031003
4,5,0.35,0.25,0.2,0.481851548811324
1,5,0.05,1,0.2,0.388464061630716
2,5,0.05,1,0.2,0.418425598151096
3,5,0.05,1,0.2,0.506776198953261
4,5,0.05,1,0.2,0.529034658263611
5,0,0.4,2,0.1,0.245577604600642
5,5,0.15,128,0.1,-0.271340577466528
1,2.5,0.4,2,0.1,0.294011002780023
2,2.5,0.4,2,0.1,0.393837769270221
1,-5,0.2,128,0.1,0.294021993950929
2,-5,0.2,128,0.1,-9.05574980399605
3,-5,0.2,128,0.1,-10.18178146951
4,-5,0.2,128,0.1,-11.0647014003828
5,-5,0.2,128,0.1,-13.7059060645409
1,-2.5,0.2,128,0.1,0.294501557504909
2,-2.5,0.2,128,0.1,-8.53706135206271
3,-2.5,0.2,128,0.1,-9.6066876272283
4,-2.5,0.2,128,0.1,-9.51691657424726
5,-2.5,0.2,128,0.1,-12.2690523294491
1,0,0.2,128,0.1,0.294683336064059
5,5,0.05,1,0.2,0.517663252293493
2,0,0.2,128,0.1,0.37731867386333
1,-5,0.1,1,0.2,0.390168994166313
2,-5,0.1,1,0.2,-4.90583758469379
3,-5,0.1,1,0.2,-5.33735428685087
4,-5,0.1,1,0.2,-8.25356264311298
5,-5,0.1,1,0.2,-8.56123464755988
3,2.5,0.4,2,0.1,0.424935668307733
1,-2.5,0.1,1,0.2,0.390098366124355
2,-2.5,0.1,1,0.2,-5.71502576829673
3,-2.5,0.1,1,0.2,-4.80596116721627
4,-2.5,0.1,1,0.2,-7.05717020736841
5,-2.5,0.1,1,0.2,-5.11751845648997
1,0,0.1,1,0.2,0.390014611188439
2,0,0.1,1,0.2,0.428155672478155
3,0,0.1,1,0.2,0.31909465502486
4,0,0.1,1,0.2,0.185941740035544
5,0,0.1,1,0.2,0.089359838059606
1,2.5,0.1,1,0.2,0.389816215810121
2,2.5,0.1,1,0.2,0.46273632212599
3,2.5,0.1,1,0.2,0.513638270556648
4,2.5,0.1,1,0.2,0.533439659402357
4,2.5,0.3,8,0.1,0.253004825106593
4,2.5,0.2,64,0.1,0.170923244796904
5,2.5,0.1,1,0.2,0.516649156263693
1,5,0.1,1,0.2,0.390096775802751
2,5,0.1,1,0.2,0.460034816887106
3,0,0.2,128,0.1,0.391345943584751
3,5,0.1,1,0.2,0.516792718187925
5,5,0.3,4,0.1,-0.0237119071754623
1,-5,0.35,4,0.1,0.294472683654261
2,-5,0.35,4,0.1,-7.29654329603219
3,-5,0.35,4,0.1,-8.20401046147274
4,-5,0.35,4,0.1,-9.12919426509954
5,-5,0.35,4,0.1,-11.9781919624203
1,-2.5,0.35,4,0.1,0.294630961127936
2,-2.5,0.35,4,0.1,-6.72602942165055
3,-2.5,0.35,4,0.1,-4.95408257003815
4,-2.5,0.35,4,0.1,-7.67439413848268
5,-2.5,0.35,4,0.1,-7.23527270935192
1,0,0.35,4,0.1,0.294728411959777
2,0,0.35,4,0.1,0.37526182576372
4,5,0.1,1,0.2,0.526491787591817
3,0,0.35,4,0.1,0.42057307347602
5,2.5,0.25,16,0.1,-0.0280886723574847
1,5,0.25,16,0.1,0.294657237199045
4,0,0.35,4,0.1,0.393995770571809
2,5,0.25,16,0.1,0.39347084054559
5,5,0.2,32,0.1,-0.218069543999075
1,-5,0.25,32,0.1,0.294754390986857
2,-5,0.25,32,0.1,-8.350581837098
3,-5,0.25,32,0.1,-9.41820792989675
4,-5,0.25,32,0.1,-10.2864428981656
5,-5,0.25,32,0.1,-12.8137945407529
1,-2.5,0.25,32,0.1,0.29456016306195
2,-2.5,0.25,32,0.1,-7.81203928204917
3,-2.5,0.25,32,0.1,-8.8130765800428
4,-2.5,0.25,32,0.1,-8.71852962059937
5,-2.5,0.25,32,0.1,-11.410301544344
1,0,0.25,32,0.1,0.294498471052185
